epoch,mol_loss,rec_loss,nce_loss,total_loss,val_auc,lr
1,2.9605629444122314,2.9305899143218994,7.2623114585876465,3.8089232444763184,0.6300536347468149,0.0009999383779245895
2,2.1456077098846436,2.1988587379455566,7.227691173553467,3.1833248138427734,0.636232480621022,0.000999753526902683
3,1.7009810209274292,1.7341346740722656,7.580451011657715,2.89013671875,0.6263889665663694,0.0009994454925435043
4,1.9447108507156372,1.9206451177597046,6.962405681610107,2.9386234283447266,0.5910402568203936,0.000999014350849922
5,1.4165245294570923,1.4307894706726074,7.11843729019165,2.562613010406494,0.7501223140680753,0.0009984602081996978
6,1.3007417917251587,1.3394790887832642,6.546984672546387,2.365485429763794,0.7806690641044285,0.0009977832013192388
7,1.2992563247680664,1.2987149953842163,6.620708465576172,2.363330364227295,0.7686218834241227,0.0009969834972498627
8,1.0977925062179565,1.1085039377212524,6.592639923095703,2.2010467052459717,0.797123801747184,0.000996061293306582
9,1.5697531700134277,1.5962234735488892,7.524234771728516,2.77123761177063,0.8015329806154293,0.0009950168170294207
10,0.8979313969612122,0.9034924507141113,6.5742082595825195,2.0354111194610596,0.8041825594792005,0.0009938503261272716
11,1.6106064319610596,1.6219539642333984,7.809788227081299,2.8549818992614746,0.8085958770036129,0.0009925621084143099
12,1.0711357593536377,1.073776364326477,7.440728664398193,2.3461105823516846,0.8087837943647163,0.0009911524817389804
13,1.32741379737854,1.300182819366455,7.296935081481934,2.510425567626953,0.8080610395856871,0.0009896217939055723
14,1.0181351900100708,1.0154619216918945,7.11765193939209,2.236969232559204,0.8087863670428743,0.0009879704225884047
15,1.091460943222046,1.0903027057647705,7.168119430541992,2.3063292503356934,0.8139492287558304,0.0009861987752386398
16,1.0178494453430176,1.0254313945770264,6.458840847015381,2.1090805530548096,0.8187989507947339,0.0009843072889837514
17,1.0059839487075806,1.0133053064346313,6.646911144256592,2.1370980739593506,0.8191790919564658,0.0009822964305196704
18,1.0322831869125366,1.0372275114059448,6.4794769287109375,2.12369966506958,0.8183943691905011,0.0009801666959956333
