pubchem_id,common_name,flavor_profile,foodb_matched,foodb_food_id,macronutrients_json,moisture_content
10797,2-Methylfuran,ethereal@acetone@chocolate,True,38.0,{},
13144,calcium lactate,odorless,True,66.0,{},
650,"2,3-butanedione",butter@caramel@oily@creamy@sweet@pungent@strong,True,66.0,{},
638278,isoliquiritigenin,bitter,True,66.0,{},
444539,Cinnamic Acid,storax@sweet@honey@balsam,True,66.0,{},
5280598,Farnesal,floral@minty,True,66.0,{},
8768,"3,4-Dihydroxybenzaldehyde",almond@medical@bitter@dry,True,66.0,{},
1032,propionic acid,cheesy@soy@acidic@vinegar@rancid@pungent,True,406.0,{},
11552,3-Methylbutanal,peach@sour@chocolate@ethereal@malt@fatty@aldehydic,True,66.0,{},
445070,farnesol,orange@linden@mild@clove@fresh@waxy@floral@muguet@sweet@anise@lily@balsam@angelica@pear@grapefruit,True,66.0,{},
107971,Daidzin,bitter,True,66.0,{},
7284,2-Methylbutyraldehyde,musty@coffee@cocoa@nutty@almond,True,66.0,{},
10448,3-methylthiopropanol,sulfurous@potato@onion@vegetable@sweet@soup,True,66.0,{},
638011,Citral,lemon@citrus@bitter@sweet@sharp@mint,True,66.0,{},
6560,2-Methyl-1-propanol,solvent@ether@wine@bitter,True,153.0,{},
284,formic acid,pungent@vinegar@formyl,True,101.0,{},
985,palmitic acid,fatty@slightly waxy,True,406.0,{},
6590,Isobutyric Acid,rancid@butter@strawberry@cheese,True,326.0,{},
6584,Methyl Acetate,sweet@bitter@ether@fruity,True,86.0,{},
5367719,Methyl jasmonate,magnolia@jasmine@fresh@waxy@floral@oily@melon@petal,True,66.0,{},
72,"3,4-Dihydroxybenzoic Acid",phenolic@balsamic@mild,True,66.0,{},
89594,nicotine,bitter,True,66.0,{},
5280863,kaempferol,bitter,True,66.0,{},
8103,1-Hexanol,oil@alcoholic@ethereal@resin@fusel@sweet@fruity@flower@green,True,178.0,{},
402,hydrogen sulfide,egg@rotten,True,175.0,{},
10430,Isovaleric Acid,sour@sweat@acid@stinky@sweaty@animal@rancid@tropical@feet@cheese,True,444.0,{},
644104,CID 644104,grassy@very mild,True,66.0,{},
439533,Taxifolin,bitter,True,66.0,{},
6251,D-mannitol,odorless@sweet,True,66.0,{},
7895,2-Pentanone,potato@alcohol@ether@ethereal@wine@banana@fishy@fruit@sweet@woody@fruity,True,86.0,{},
802,indole-3-acetic acid,sour@odorless@mild,True,66.0,{},
49,3-Methyl-2-oxobutanoic acid,fruity,True,21.0,{},
79803,1-Pyrroline,shrimp@ammoniacal,True,66.0,{},
8868,ethyl acetoacetate,apple@fresh@fatty@fruity@green,True,83.0,{},
26447,Menthone,menthol@camphor@peppermint@deep@herbal@raspberry@bitter@camphoraceous,True,66.0,{},
1549026,Geranyl Acetate,waxy@rose@lavender@green@floral@bitter,True,66.0,{},
5363388,cis-3-Hexenyl acetate,apple@fresh@banana@sweet@fruity@grassy@green,True,66.0,{},
30914,Acetylpyrazine,tomato@coffee@corn@chocolate@nutty@bread crust@roast@hazelnut@popcorn@bitter@chip,True,170.0,{},
7858,Allyl Alcohol,mustard@pungent,True,66.0,{},
31268,Pyrrolidine,alkaline@egg@animal@ammoniacal@amine,True,178.0,{},
439246,naringenin,bitter,True,66.0,{},
6561,Isobutyraldehyde,malt@fresh@floral@pungent@aldehydic@green,True,66.0,{},
9862,6-Methyl-5-Hepten-2-One,pepper@apple@mushroom@citrus@musty@rubber@nutty@green@hazelnut@bitter@lemongrass,True,66.0,{},
18635,3-(Methylthio)propionaldehyde,potato@vegetable@tomato@fishy@musty@earthy@creamy@peanut@cooked potato@beef,True,66.0,{},
454,Octanal,lemon@citrus@soap@orange peel@fat@waxy@fatty@aldehydic@green,True,66.0,{},
6202,Thiamine Hydrochloride,mild@sour@bitter,True,66.0,{},
768,hydrogen cyanide,bitter,True,66.0,{},
2345,Benzyl Benzoate,oil@pineapple@balsamic@herbal@strawberry@oily@faint@sweet@balsam@cherry@almond@herb@cheese,True,66.0,{},
5284503,trans-3-Hexen-1-ol,moss@bitter@fresh@fatty@earthy@intensely@green,True,66.0,{},
8857,Ethyl Acetate,pineapple@ethereal@sweet@anise@fruity@balsam@weedy@green,True,66.0,{},
5365811,4-Hexen-3-One,ethereal@pungent@tropical@metallic@spicy@green,True,66.0,{},
643779,Neral,lemon@lemon peel@sweet@citral,True,66.0,{},
2969,Decanoic acid,sour@citrus@fat@rancid@fatty@unpleasant,True,38.0,{},
7362,2-Furaldehyde,fragrant@bread@woody@sweet@baked@almond,True,457.0,{},
61020,3-Methyl-2-butenal,brown@sweet@pungent@fruity@cherry@nutty@almond,True,66.0,{},
7288,3-Pentanone,ethereal@acetone@ether,True,66.0,{},
85730,14400-67-0,caramel@ester@fruity,True,106.0,{},
1031,1-propanol,alcoholic@fermented@alcohol@musty@fusel@pungent@peanut,True,7.0,{},
19602,2-Pentylfuran,butter@green bean@vegetable@earthy@beany@fruity@metallic@green,True,457.0,{},
8130,Heptanal,citrus@ozone@fat@herbal@fresh@wine-lee@rancid@fatty@aldehydic@green,True,66.0,{},
180,acetone,solvent@apple@pear@ethereal,True,66.0,{},
6569,2-Butanone,ethereal@ether@fruity@acetone@camphor,True,66.0,{},
61503,D-Lactic acid,acidic@odorless,True,66.0,{},
126,4-hydroxybenzaldehyde,woody@sweet@balsam@nutty@almond,True,66.0,{},
5280445,luteolin,bitter,True,66.0,{},
637542,p-coumaric acid,balsam@balsamic,True,66.0,{},
12209,2-Methylbutyl Acetate,overripe fruit@banana@fruit@sweet@peanut@juicy,True,288.0,{},
5372954,cis-Cinnamic acid,sweet@honey@balsam@storax@cinnamon,True,707.0,{},
8468,Vanillic acid,powdery@vanilla@bean@milky@sweet@creamy@dairy,True,907.0,{},
643731,Violet leaf aldehyde,wax@fatty@cucumber@dry@leaf@violet@green,True,178.0,{},
7344,Ethyl Lactate,butterscotch@butter@tart@sharp@fruit@fruity@buttery,True,881.0,{},
5366074,Damascenone,apple@tobacco@rose@smoky@sweet@honey,True,427.0,{},
25915,2-Ethyl-5-Methylpyrazine,bean@fruit@sweet@coffee,True,175.0,{},
460,guaiacol,spice@vanilla@smoky@sweet@woody@phenolic@medicine@medicinal@smoke,True,21.0,{},
7824,Methyl Hexanoate,pineapple@ether@fresh@fruit@sweet@fruity,True,86.0,{},
31276,Isoamyl Acetate,bitter@solvent@banana@fruity@sweet,True,881.0,{},
332,2-Methoxy-4-vinylphenol,curry@smoky@clove@peanut@spicy,True,178.0,{},
7997,Propyl acetate,solvent@fusel@pear@celery@raspberry@bitter@fruity,True,645.0,{},
1049,Pyridine,sour@putrid@fishy@rancid@sickening@amine,True,178.0,{},
8369,Maltol,caramel@jam@bread@cotton@sweet@fruity@baked@candy,True,162.0,{},
32065,23747-48-0,roast@nut@roasted@potato@earthy@baked@peanut,True,175.0,{},
12020,1-Penten-3-Ol,butter@pungent@tropical@horseradish@green@vegetable@bitter@fruity,True,162.0,{},
12366,Ethyl Palmitate,mild@wax@milky@waxy@creamy@fruity@balsam,True,406.0,{},
8158,Nonanoic Acid,cultured dairy@fat@waxy@green@dirty@cheese,True,457.0,{},
8908,Hexyl acetate,apple@sweet@banana@fruit@green@herb@bitter@fruity,True,411.0,{},
19309,3658-77-3,caramel@strawberry@grape@cotton@sweet@sugar@candy@almond,True,38.0,{},
263034,Difurfuryl ether,nutty@coffee,True,644.0,{},
8163,2-Undecanone,orange@waxy@fresh@fatty@floral@iris@creamy@fruity@orris@green,True,175.0,{},
8164,Octyl acetate,herbal@waxy@earthy@mushroom@green,True,54.0,{},
12170,Furfuryl acetate,horseradish@sweet@fruity@banana,True,16.0,{},
228583,2-Furylacetone,radish@spicy,True,175.0,{},
9589,3-Acetylpyridine,dry@sweet@woody@hawthorn@nutty@popcorn@phenolic,True,58.0,{},
637564,"2,4-Hexadienal",citrus@floral@sweet@spicy@green,True,101.0,{},
19310,Dimethyl trisulfide,sulfur@cabbage@sulfurous@onion@fish@savory@meaty@cooked,True,562.0,{},
7711,2-Phenylethyl formate,hyacinth@rose@green@herbal@watercress@bitter,True,645.0,{},
880,methylglyoxal,brown@ethereal@acidic@sweet@rum,True,505.0,{},
8027,Pyrrole,ethereal@nutty@sweet@warm,True,38.0,{},
11747,"2,3-Pentanedione",butter@cream@caramel@sweet@pungent@creamy@nutty@cheese,True,175.0,{},
996,phenol,phenol@plastic@rubber@phenolic,True,175.0,{},
7958,"2,6-Dimethyl-4-heptanone",pineapple@banana@fruity@metallic@green,True,175.0,{},
5365891,2-Octen-4-one,,True,381.0,{},
1060,Pyruvic acid,acetic@sour@sharp@caramellic,True,21.0,{},
6915,2-Ethylbutyric Acid,sour@caramel@berry@acidic@whiskey@fruity@dry,True,12.0,{},
61303,2-Pentadecanone,jasmin@fresh@celery,True,21.0,{},
26334,"2-Ethyl-3,5-Dimethylpyrazine",roast@burnt almonds@roasted nuts@potato@coffee,True,175.0,{},
31251,Ethyl Nonanoate,rose@wine@waxy@rum@fruity@tropical@natural,True,12.0,{},
7359,2-Ethylbutanal,ethereal@cocoa@sweet@fruity@green,True,175.0,{},
8082,Piperidine,floral@sweet@heavy@bitter@animal,True,40.0,{},
1146,trimethylamine,sweaty@fish@fishy@oily@rancid@fruity,True,243.0,{},
7921,gamma-Valerolactone,tobacco@warm@herbal@cocoa@sweet@woody,True,38.0,{},
22386,2-Pentanol,oil@fermented@mild@fusel@green,True,21.0,{},
11173,3-Methyl-2-Buten-1-Ol,lavender@fruity@herb@green,True,162.0,{},
10883,Ethyl Levulinate,berry@pineapple@floral@sweet@fruity@rhubarb@green,True,195.0,{},
11559,alpha-Angelica lactone,,True,85.0,{},
7361,Furfuryl Alcohol,coffee@alcoholic@bitter@musty@chemical@caramel@sweet@burnt@bread,True,59.0,{},
994,Dl-Phenylalanine,odorless,True,918.0,{},
5960,L-aspartic acid,odorless,True,245.0,{},
6140,L-phenylalanine,odorless@bitter,True,175.0,{},
7909,4-Methyl-2-pentanone,solvent@spice@herbal@sharp@fruity@dairy@green,True,175.0,{},
